,Fact ID
0,7cc7-9198-9358-fdf5
1,083b-d47a-2d98-7325
2,bca3-49ef-68a9-7d13
3,15c4-e9b2-7186-2e43
4,f0be-8ee2-3dc9-c516
5,dc80-6330-427e-36ff
6,42b6-a8e9-5665-d755
7,168d-a693-2ec1-ee66
8,8e64-7c6e-2572-2438
9,7164-31fa-44d7-61b0
10,b647-16b3-9341-d4de
11,753f-5368-a211-ed1e
12,c110-0e79-f545-e341
13,794a-7ac4-5e27-9d39
14,01b1-6b36-b6b8-5c97
15,4db8-5861-a56f-c38f
16,1dda-2bae-9eb8-0622
17,8b95-fe18-dbc1-7c08
18,a447-77af-169b-ae1f
19,35df-1618-897b-4405
20,ead8-2c52-fa03-cf4a
21,71a9-9f53-252f-a6be
22,aca8-8280-e839-7671
23,6e0f-fabc-9a30-ed70
24,5455-fa26-7125-455e
25,9e9a-a8ae-8561-fa20
26,2603-df1f-cacc-b864
27,9fb0-9ec7-8d1d-afbf
28,2f0f-6f4d-d1b5-95db
29,94a3-c532-7b7d-7b2d
30,fcdf-4c69-0833-c1b9
31,ec72-673d-bd10-028a
32,7fde-80ba-86dd-7deb
33,4bb6-215a-1a0d-97b9
34,a71b-adc1-7504-2a7d
35,85b8-671b-6af2-c397
36,95f4-0f32-02aa-0af2
37,41fa-fa72-3651-db02
38,788b-d16c-c625-db9f
39,3344-d76f-5d8f-0c61
40,aa8b-6751-e135-d06f
41,aede-d34c-c7ef-0eea
42,087d-7028-ab8c-12be
43,22b4-d564-fdae-3786
44,a68f-e428-18de-2f21
45,07a3-e850-eebe-3043
46,56c8-cc89-2a22-4eea
47,5b8f-dfea-901b-2e62
48,814f-7707-4006-bc2d
49,5968-79e2-9f40-8f2d
50,86f2-92cc-134e-880b
51,c3af-7538-795e-ec56
52,f997-a180-795e-e872
53,a6d3-031b-6398-c30e
54,2384-e381-8dba-3a85
55,47eb-c4e4-e924-7160
56,9f32-c759-d73a-9bf2
57,bb32-0bc0-3629-6bca
58,1966-99de-7765-39de
59,73df-7e6e-db00-ae55
60,f992-5698-76aa-c6de
61,3ad2-6e55-7ae1-f182
62,5730-38d6-f120-68f8
63,2c3e-5dac-b4e5-5bc8
64,37af-5fb1-9a80-3548
65,359d-9e24-9685-50ca
66,4e5c-f633-ddba-96d9
67,ad33-c9d9-8287-cba0
68,710f-aa1b-106c-0fef
69,8948-37e5-94f2-ca16
70,e7c9-77b1-0847-9902
71,ef31-4d23-6b78-5f80
72,3b42-d1e1-9cb2-7b6b
73,709d-6f18-874c-f16a
74,277a-fd34-e20b-0e05
75,e1e4-0797-e545-e336
76,f1a3-386d-38d5-de6d
77,4d20-3294-ea14-e444
78,e5c6-c007-ec45-6843
79,9a8e-ea9a-3158-05d6
80,2475-8eec-dc25-695b
81,3e03-880a-9209-2d6c
82,9714-8e2a-f6fb-91e4
83,e4af-0fe7-8fbf-a009
84,77e3-2567-0b8a-e691
85,7652-630e-9dc2-c3d9
86,e9f6-16cc-4443-acc7
87,e1b9-baf2-f4bd-c847
88,2125-ab14-605b-2b8c
89,a885-71a9-2e19-c391
90,39b0-792c-8e27-6758
91,0cfa-af72-38ef-3394
92,7f29-f89e-48de-2b22
93,8a30-65b6-7d7e-5aa2
94,ef70-ad11-607b-edd7
95,d12c-45b3-893a-484c
96,d579-8b7c-067c-da38
97,4a2b-185c-d16f-361d
98,3be5-7bd0-e7f9-b068
99,4bfa-70f5-4c5f-1484
100,b130-8df0-86af-43ea
101,7c06-acbe-198f-0202
102,4622-178e-e8e0-8022
103,9b86-7f8b-3dd3-f9e4
104,a74b-0f41-283a-36ff
105,ce2f-df98-e9c7-37ac
106,010c-39f3-1b7a-7408
107,b8bd-0f06-439a-5721
108,24ec-0ce6-3909-ccf6
109,d916-5924-be80-0d88
110,849d-06ff-794e-6880
111,c1cd-99dc-b931-3a4f
112,b041-a123-9784-787f
113,bc64-518b-7a8b-fdab
114,ac29-64bc-8dfb-4080
115,df77-f13b-3062-2718
116,6bf8-4a05-d7b7-8bc0
117,490c-5be7-2ff7-4bf2
118,a53c-6387-9cc9-d3e1
119,123d-8a65-3831-3fa1
120,3f22-4f93-27fe-9ff0
121,c13b-55d9-7641-97c6
122,64ab-a5b7-0dd3-fe65
123,af05-e5d3-92da-de30
124,1f01-c949-a5e3-ab0c
125,e235-691b-277c-0115
126,5bff-dec5-509f-bc99
127,395b-4954-311f-4749
